Country or Area,Country or Area Code,Age Group,Indicator,Date - Year,Value - Mean age at childbearing (MAC),Series,DataType,Data Source Type,Survey Programme,Data Source Inventory ID,Data Source Name,Data Source Name (short),Data Source Start Year,Data Source End Year,Reference,Reference Year
Afghanistan,4,[Total],MAC,1973.833333333,29.42696,"1972-1974 NDFGS,Relational Gompertz model,Computed",Relational Gompertz model,Survey,Survey,160,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,1972-1974 NDFGS,1972,1974,United Nations Population Division,2010
Afghanistan,4,[Total],MAC,1973.833333333,30.47475,"1972-1974 NDFGS,Recent births,Article",Recent births,Survey,Survey,160,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,1972-1974 NDFGS,1972,1974,"Trussell J, Brown E., A close look at the demography of Afghanistan. Demography. 1979 Feb;16(1):137-56",1979
Afghanistan,4,[Total],MAC,1978.976684570,29.42602,"1979 Census,Relational Gompertz model,Computed",Relational Gompertz model,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2010
Afghanistan,4,[Total],MAC,1978.976684570,30.47402,"1979 Census,Recent births,Database",Recent births,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,"Demographic Yearbook, United Nations Statistics Division",
Afghanistan,4,[Total],MAC,1979.5,29.58185,"1979 Census,Computed rate from DYB,DYB,280-135-36",Computed rate from DYB,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,Demographic Yearbook,1983
Afghanistan,4,[Total],MAC,1993.121917808,29.87279,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],MAC,1998.121917808,29.80113,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],MAC,1998.299452,29.6975,"2015 DHS,Birth Histories (Extrapolated),DHS,5689-147-41264",Extrapolated from Truncated Birth Histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],MAC,2000.541137695,28.46752,"2000 MICS,Arriaga-Mortara CEB method,Computed",Arriaga-Mortara CEB method,Survey,MICS,2893,Afghanistan 2000 Multiple Indicator Cluster Survey,2000 MICS,2000,2000,United Nations Population Division,2006
Afghanistan,4,[Total],MAC,2000.541137695,29.99521,"2000 MICS,Arriaga modified P/F Ratio method,Computed",P/F Ratio method (Arriaga),Survey,MICS,2893,Afghanistan 2000 Multiple Indicator Cluster Survey,2000 MICS,2000,2000,United Nations Population Division,2006
Afghanistan,4,[Total],MAC,2003.121917808,29.73342,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],MAC,2003.299452,29.53575,"2015 DHS,Birth Histories (Extrapolated),DHS,5689-147-41264",Extrapolated from Truncated Birth Histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],MAC,2003.497192383,28.36765,"2003 MICS,Arriaga-Mortara CEB method,Computed",Arriaga-Mortara CEB method,Survey,MICS,1925,Afghanistan 2003 Multiple Indicator Cluster Survey,2003 MICS,2003,2003,United Nations Population Division,2006
Afghanistan,4,[Total],MAC,2003.497192383,29.99521,"2003 MICS,Arriaga modified P/F Ratio method,Computed",P/F Ratio method (Arriaga),Survey,MICS,1925,Afghanistan 2003 Multiple Indicator Cluster Survey,2003 MICS,2003,2003,United Nations Population Division,2006
Afghanistan,4,[Total],MAC,2005.810424805,29.93837,"2006 HS,Arriaga modified P/F Ratio method,Computed",P/F Ratio method (Arriaga),Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2008
Afghanistan,4,[Total],MAC,2006.810439560,28.4133,"2006 HS,Arriaga-Mortara CEB method,Computed",Arriaga-Mortara CEB method,Survey,Survey,4369,Afghanistan 2006 Health Survey,2006 HS,2006,2006,United Nations Population Division,2008
Afghanistan,4,[Total],MAC,2007.208333333,29.13507,"2007-2008 NRVA,Recent births,Computed",Recent births,Survey,Survey,4465,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,2007-2008 NRVA,2007,2008,United Nations Population Division,2010
Afghanistan,4,[Total],MAC,2007.208333333,29.7154,"2007-2008 NRVA,Relational Gompertz model,Computed",Relational Gompertz model,Survey,Survey,4465,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,2007-2008 NRVA,2007,2008,United Nations Population Division,2010
Afghanistan,4,[Total],MAC,2008.121917808,29.18728,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],MAC,2008.299452,29.30163,"2015 DHS,Birth Histories (Extrapolated),DHS,5689-147-41264",Extrapolated from Truncated Birth Histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Afghanistan,4,[Total],MAC,2009.121917808,29.12427,"2010 DHS Special,Birth Histories data,Report",Birth histories,Survey,DHS-NS,5045,Afghanistan 2010 Mortality Survey,2010 DHS Special,2010,2010,Afghanistan 2010 Mortality Survey Report,
Afghanistan,4,[Total],MAC,2011.079956055,28.65634,"2010-2011 MICS,Recent births,Computed",Recent births,Survey,MICS,4983,Afghanistan 2010-2011 Multiple Indicator Cluster Survey,2010-2011 MICS,2010,2011,United Nations Population Division,2012
Afghanistan,4,[Total],MAC,2011.079956055,29.64771,"2010-2011 MICS,Relational Gompertz model,Computed",Relational Gompertz model,Survey,MICS,4983,Afghanistan 2010-2011 Multiple Indicator Cluster Survey,2010-2011 MICS,2010,2011,United Nations Population Division,2012
Afghanistan,4,[Total],MAC,2011.079956055,30.30271,"2011-2012 NRVA,Recent births,Computed",Recent births,Survey,Survey,5252,Afghanistan 2011 National Risk and Vulnerability Assessment,2011-2012 NRVA,2011,2012,United Nations Population Division,2013
Afghanistan,4,[Total],MAC,2011.079956055,29.03006,"2011-2012 NRVA,Relational Gompertz model,Computed",Relational Gompertz model,Survey,Survey,5252,Afghanistan 2011 National Risk and Vulnerability Assessment,2011-2012 NRVA,2011,2012,United Nations Population Division,2013
Afghanistan,4,[Total],MAC,2013.299452,29.27112,"2015 DHS,Birth Histories,DHS,5689-63-41264",Birth histories,Survey,DHS,5689,Afghanistan 2015 Demographic and Health Survey,2015 DHS,2015,2016,Afghanistan Demographic and Health Survey 2015,2017
Albania,8,[Total],MAC,1955.5,31.52498,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1955,1955,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1956.5,31.08682,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1956,1956,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
Albania,8,[Total],MAC,1957.5,30.80637,"Estimates,Fertility data (Adjusted),HFC-ODE,2029-126-40724",Fertility data (adjusted),Estimate,Estimate,2029,All sources of estimates,Estimates,1957,1957,European Demographic Observatory (ODE). Data collection submitted to the HFC by Jean-Paul Sardon,2011
