Country or Area,Country or Area Code,Age Group,Indicator,Date - Year,Value - Total fertility (TFR),Series,DataType,Data Source Type,Survey Programme,Data Source Inventory ID,Data Source Name,Data Source Name (short),Data Source Start Year,Data Source End Year,Reference,Reference Year
Afghanistan,4,[Total],TFR,1964.977050781,7.966653,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1965.977050781,8.212275,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1966.977050781,8.317603,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1967.977050781,8.225812,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1968.977050781,8.068459,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1969.977050781,7.976374,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1970.977050781,7.930154,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1971.977050781,7.913951,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1972.977050781,7.930377,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1973.833333333,6.9115,"1972-1974 NDFGS,Recent births,Article",Recent births,Survey,Survey,160,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,1972-1974 NDFGS,1972,1974,"Trussell J, Brown E., A close look at the demography of Afghanistan. Demography. 1979 Feb;16(1):137-56",1979
Afghanistan,4,[Total],TFR,1973.833333333,7.882833,"1972-1974 NDFGS,Relational Gompertz model,Computed",Relational Gompertz model,Survey,Survey,160,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,1972-1974 NDFGS,1972,1974,United Nations Population Division,2010
Afghanistan,4,[Total],TFR,1973.977050781,8.015475,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1974.977050781,8.452451,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1975.977050781,8.649555,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1976.977050781,8.889565,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1977.977050781,9.070181,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1978.976684570,7.8823,"1979 Census,Relational Gompertz model,Computed",Relational Gompertz model,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2010
Afghanistan,4,[Total],TFR,1978.976684570,7.079947,"1979 Census,Recent births,Database",Recent births,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,"Demographic Yearbook, United Nations Statistics Division",
Afghanistan,4,[Total],TFR,1978.977050781,7.50723,"1979 Census,Reverse survival methods,Computed",Reverse survival method,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1979.5,7.470936,"1979 Census,Computed rate from DYB,DYB,280-135-36",Computed rate from DYB,Census,Census,280,Afghanistan 1979 Census,1979 Census,1979,1979,Demographic Yearbook,1983
Afghanistan,4,[Total],TFR,1979.5,7.6,"Estimates,Direct,DYB,2028-16-53",Direct,Estimate,Estimate,2028,All sources of estimates,Estimates,1979,1979,Demographic Yearbook,2000
Afghanistan,4,[Total],TFR,1990,7.732488,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1990,7.614621,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1991,7.610251,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
Afghanistan,4,[Total],TFR,1991,7.825424,"2003-2005 HH Listing,Reverse survival methods,Computed,1",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2013
Afghanistan,4,[Total],TFR,1992,7.514194,"2003-2005 HH Listing,Reverse survival methods,Computed,2",Reverse survival method,Census,Household listing,4471,Afghanistan 2003-2005 Household Listing,2003-2005 HH Listing,2003,2005,United Nations Population Division,2012
